id,screen_name,created_at,text
1453125544325750788,DalhousieU,2021-10-26 22:25:02+00:00,"b'DYK? The #DalhousieU Student Health &amp; Wellness hosts events and workshops to support students\xe2\x80\x99 health and wellness,\xe2\x80\xa6 https://t.co/mLrqjRICGv'"
1453104226410897416,DalhousieU,2021-10-26 21:00:19+00:00,"b'\xe2\x80\x9cCentral to the need for an African Nova Scotian strategy, and the foundation of the strategy itself, is the unders\xe2\x80\xa6 https://t.co/WWTM617oG5'"
1453059118130925570,DalhousieU,2021-10-26 18:01:04+00:00,b'Don\xe2\x80\x99t forget to purchase your 50/50 tickets in support of the United Way! #DalUnited https://t.co/CJb1o6dcbF'
1452983612010287106,DalhousieU,2021-10-26 13:01:02+00:00,"b'Register now for the online event: Slavery and Reparations: African Nova Scotia, Canada and Beyond, taking place  M\xe2\x80\xa6 https://t.co/RAL7ApswB5'"
1452741818211311619,DalhousieU,2021-10-25 21:00:14+00:00,"b'Here are 4 things you should experience this fall in Nova Scotia, according to @DalStudentLife \xf0\x9f\x8e\x83 \xf0\x9f\x8c\xbd \xe2\x98\x95 \xf0\x9f\x8d\x82 https://t.co/OSEUqTC5Ty'"
1452720376467922948,DalhousieU,2021-10-25 19:35:02+00:00,b'Interested in being #DalBound next year? Register for our November 6th virtual Open House and: \n\xe2\x9c\x94\xef\xb8\x8f Explore student\xe2\x80\xa6 https://t.co/jWwaicohHu'
1452666499047559180,DalhousieU,2021-10-25 16:00:57+00:00,"b'This week, learn about Amyl Ghanem, an associate professor in the Department of Process Engineering and Applied Sci\xe2\x80\xa6 https://t.co/h2AiN1GmQf'"
1452636375229079559,DalhousieU,2021-10-25 14:01:15+00:00,b'Our #DalUnited Way campaign starts today. Consider donating to this worthy community cause. Our goal this year is t\xe2\x80\xa6 https://t.co/g0yhnLaxbC'
1452606783613243401,DalhousieU,2021-10-25 12:03:39+00:00,b'@mycampusgps Gorgeous photos!'
1452424731001503745,DalhousieU,2021-10-25 00:00:15+00:00,"b""\xf0\x9f\x99\x82\xf0\x9f\x99\x83 You won't want to miss the 'Happiness in Troubled Times' virtual symposium, put on by @DAL_FASS. The event takes\xe2\x80\xa6 https://t.co/rc76bKLkQg"""
1452304027371376648,DalhousieU,2021-10-24 16:00:37+00:00,b'\xe2\x80\x9cMy favourite part of the @dalagriculture campus was the sense of community it provided.\xe2\x80\x9d https://t.co/GgpRWMCcuY'
1452243564503740424,DalhousieU,2021-10-24 12:00:21+00:00,"b'DYK? \xf0\x9f\xa4\x94 The Aramark Leadership award fund provides several $4,000 awards to returning, full-time #DalhousieU undergr\xe2\x80\xa6 https://t.co/7iaUU7cOmn'"
1452032133309079559,DalhousieU,2021-10-23 22:00:12+00:00,"b""We're updating our #DalhouseU procedures for communicating low-risk precaution notifications that are shared with u\xe2\x80\xa6 https://t.co/gzVQo7LMFy"""
1451971796086009868,DalhousieU,2021-10-23 18:00:27+00:00,b'A new bench designed by a recent Dal architecture grad was installed this month in downtown Truro to pay tribute to\xe2\x80\xa6 https://t.co/5WbbXnfTLn'
1451911435794124811,DalhousieU,2021-10-23 14:00:36+00:00,"b""Join us on Wednesday, November 3rd for a reading and discussion with Francesca Ekwuyasi, the author of this year's\xe2\x80\xa6 https://t.co/Nf9hlW3VT5"""
1451639622816178185,DalhousieU,2021-10-22 20:00:30+00:00,b'Earlier this month @DalPres Deep Saini joined the @School_GC to discuss the future of higher education. Watch: https://t.co/3Mb2WLQggD'
1451559125008138241,DalhousieU,2021-10-22 14:40:38+00:00,"b""'Ewe' are one in a million! \xf0\x9f\x98\x8d https://t.co/NkHbtDRZQ3"""
1451556472286957575,DalhousieU,2021-10-22 14:30:06+00:00,"b'In 2016, Naiomi Metallic was appointed as #DalhousieU\xe2\x80\x99s inaugural Chancellor\xe2\x80\x99s Chair in Aboriginal Law and Policy.\xe2\x80\xa6 https://t.co/Y75fGAyb7n'"
1451538843870564352,DalhousieU,2021-10-22 13:20:03+00:00,"b""It was incredibly moo-ving \xf0\x9f\x90\x84 to experience @dalagriculture's College Royal 2021. More: https://t.co/EQt8TyO0Ei https://t.co/Frm2dowgKq"""
1451517573506474002,DalhousieU,2021-10-22 11:55:32+00:00,b'@stewiacke_Pam \xf0\x9f\x91\x8f #DalProud!'
1453102666469498885,Google,2021-10-26 20:54:07+00:00,"b'RT @Android: Don\xe2\x80\x99t let your @WhatsApp memories go down in history, take them with you. You can now transfer your data to your #Android phon\xe2\x80\xa6'"
1453088401297657859,Google,2021-10-26 19:57:26+00:00,"b'@Rimayk2 Hey, we hope our support team was able to help you out with your issue. We\xe2\x80\x99d love for you to follow us so\xe2\x80\xa6 https://t.co/NMBw0gwE7j'"
1453088226365870085,Google,2021-10-26 19:56:44+00:00,"b'To help hit our goal of operating on entirely carbon-free energy by 2030, two of our new buildings will have \xe2\x80\x98drago\xe2\x80\xa6 https://t.co/3PpeexdjMN'"
1453075309469831172,Google,2021-10-26 19:05:25+00:00,b'RT @googleafrica: Celebrate 60 years of WWF\xe2\x80\x99s conservation work by inviting over the animals they\xe2\x80\x99ve helped protect \xf0\x9f\xa5\xb3\xf0\x9f\x8e\x82\xf0\x9f\x90\xbc. Search for rare an\xe2\x80\xa6'
1453062789841375234,Google,2021-10-26 18:15:40+00:00,"b'@ZiaulGmail Hi, Ziaul. Mind if we jump in? We suggest you to have a look at this article: https://t.co/ds9vK3OEsR t\xe2\x80\xa6 https://t.co/Eblg3g6LsE'"
1453059186896609290,Google,2021-10-26 18:01:21+00:00,"b'@lukesaysmoo Hi Luke, we apologize for the inconvenience. We suggest you reach out to our phone/chat support team s\xe2\x80\xa6 https://t.co/xECiEBmrEs'"
1453056091575754761,Google,2021-10-26 17:49:03+00:00,"b'Next week at #COP26, Google will join global leaders to discuss how to jointly address climate change. We\xe2\x80\x99re focuse\xe2\x80\xa6 https://t.co/dNcriUco6s'"
1453040512001351688,Google,2021-10-26 16:47:08+00:00,b'Cybersecurity practitioners across Google and industry are elevating the voices and expertise of Black security pra\xe2\x80\xa6 https://t.co/friTQkKGgO'
1453023434179497988,Google,2021-10-26 15:39:17+00:00,b'Who needs a haunted house when you can search \xe2\x80\x9cspiders on ceiling\xe2\x80\x9d? \xf0\x9f\x8e\x83'
1453022986924134405,Google,2021-10-26 15:37:30+00:00,b'@MithunK11880145 Hi Mithun. Have you already tried recovering your Google account using the steps here:\xe2\x80\xa6 https://t.co/bmNG48maTq'
1453022818862616579,Google,2021-10-26 15:36:50+00:00,b'@AmanjBarzani Mind if we jump in? Are you getting a specific error message when you try signing into your Google ac\xe2\x80\xa6 https://t.co/xGArvBtq1V'
1453022562066345986,Google,2021-10-26 15:35:49+00:00,b'@elreyking8 Hi there. Have you already tried recovering your account using the steps here: https://t.co/CJQaJUw3RV?\xe2\x80\xa6 https://t.co/ocmp3O8Msv'
1453022147136434183,Google,2021-10-26 15:34:10+00:00,"b""@quickcres Hi there. Let's see what we can do to help. Look out for a DM with next steps."""
1453019017254424587,Google,2021-10-26 15:21:44+00:00,"b'@SsssHussein Hi there. Just to confirm, have you already tried recovering your account using the steps here:\xe2\x80\xa6 https://t.co/A0sbo1u0D1'"
1453018663750144004,Google,2021-10-26 15:20:19+00:00,b'@MrDeepakSingh97 Hi Deepak. Have you already tried recovering your account using the steps here:\xe2\x80\xa6 https://t.co/MYhb93Bp3r'
1453017474715295747,Google,2021-10-26 15:15:36+00:00,"b""@pathantariq668 Hi Tariq. We'd like to move this conversation to DM. Please follow us and let us know when you have\xe2\x80\xa6 https://t.co/xgHbwcYfdi"""
1453017311430991873,Google,2021-10-26 15:14:57+00:00,"b""@RamanaR14157980 Hi Ramana. Let's see what we can do to help. Please follow us and let us know when you have so we\xe2\x80\xa6 https://t.co/AGIUUJRt15"""
1453016741206970372,Google,2021-10-26 15:12:41+00:00,b'@MEDHUE Hi Medhue. Have you already tried recovering your Google account by completing the steps here:\xe2\x80\xa6 https://t.co/zEqaflBGpz'
1453016624529907718,Google,2021-10-26 15:12:13+00:00,b'@rahulkataria492 Hi Rahul. Did you try resetting your password by completing the steps on this page:\xe2\x80\xa6 https://t.co/2akyW1oEGf'
1453016136220647428,Google,2021-10-26 15:10:17+00:00,"b'@wiisportssavage Hi there. This guide may help: https://t.co/ZOHEKMRY8d. If something looks out-of-line, we suggest\xe2\x80\xa6 https://t.co/m1bDorWUG5'"
1450845758295511046,msdev,2021-10-20 15:25:58+00:00,"b'@dv_twts Hi Dhariya, great question! You can read more about eligibility here: https://t.co/89wgMS89Vm'"
1449767160088342528,msdev,2021-10-17 16:00:00+00:00,b'The Microsoft #BuildFor2030 Hackathon will bring #MSPartners together to reframe challenges as technology opportuni\xe2\x80\xa6 https://t.co/ybRk7UJJSl'
1449404807882620939,msdev,2021-10-16 16:00:09+00:00,b'Deliver innovative customer experiences and advance your business by modernizing your .NET apps and moving your Jav\xe2\x80\xa6 https://t.co/1hjaUUVIF2'
1448423311503986690,msdev,2021-10-13 23:00:02+00:00,"b'Learn from Microsoft, GitHub, and Sogeti experts about how to reduce delivery bottlenecks by integrating security i\xe2\x80\xa6 https://t.co/kTVddsJGBy'"
1448340255766204417,msdev,2021-10-13 17:30:00+00:00,"b'RT @MSFTQuantum: With our expanded stack, you can now directly submit quantum circuits written with Qiskit and Cirq to #AzureQuantum hardwa\xe2\x80\xa6'"
1447992967180980224,msdev,2021-10-12 18:30:00+00:00,"b'RT @MicrosoftIoT: The Microsoft #BuildFor2030 Hackathon will bring #MSPartners together to innovate, reframing challenges as technology opp\xe2\x80\xa6'"
1447955232420466703,msdev,2021-10-12 16:00:03+00:00,"b'Happy #AdaLovelaceDay! To celebrate, why not explore the Ada Developers Academy (@ADAAcademy), which prepares women\xe2\x80\xa6 https://t.co/la4hEO5QGT'"
1447660778811760644,msdev,2021-10-11 20:30:00+00:00,b'RT @Azure: Learn how to use Azure Functions to store unstructured data in Azure Cosmos DB on this edition of #AzureTipsAndTricks: https://t\xe2\x80\xa6'
1447600382818062342,msdev,2021-10-11 16:30:01+00:00,"b'RT @OpenAtMicrosoft: \xf0\x9f\x9a\xa8 There are two big opportunities to learn about Kubernetes on #Azure!\n\xe2\x9c\x94 Visit the Azure booth at @KubeCon_, virtually\xe2\x80\xa6'"
1447275741637447681,msdev,2021-10-10 19:00:00+00:00,b'RT @Azure: New to Azure? Learn how to create your first project using the Quickstart Center in this episode of the Azure Portal Series. Wat\xe2\x80\xa6'
1445897914711162880,msdev,2021-10-06 23:45:01+00:00,"b""RT @MSFTReactor: We're celebrating the 20th anniversary of @MSFTImagine with a brand new kick-off event on October 8th and 9th! \xf0\x9f\xa5\xb3 \n\nJoin @l\xe2\x80\xa6"""
1445781061133168647,msdev,2021-10-06 16:00:40+00:00,"b'Apply network machine learning to organizational science, better understand the collaborative patterns of resilienc\xe2\x80\xa6 https://t.co/xhbqgIvi05'"
1445441153533239297,msdev,2021-10-05 17:30:00+00:00,b'RT @Azure: Migrating data between Azure #CosmosDB containers can be difficult. Learn how to easily copy data from one container to another\xe2\x80\xa6'
1445063666055909382,msdev,2021-10-04 16:30:00+00:00,"b'RT @OpenAtMicrosoft: Join @ScottGu at ElasticON Global 2021, on October 5\xe2\x80\x937. Sessions and workshops help improve your Elastic skills. Regis\xe2\x80\xa6'"
1444784327431184395,msdev,2021-10-03 22:00:01+00:00,b'RT @SQLServer: Get a deep dive on database and application assessments and find out how you can accelerate your modernization to Azure SQL:\xe2\x80\xa6'
1444739025357754371,msdev,2021-10-03 19:00:00+00:00,b'RT @SQLServer: Registration is now open for PASS Data Community Summit\xe2\x80\x94a free online conference for #data platform users. Join us for five\xe2\x80\xa6'
1444723926236639238,msdev,2021-10-03 18:00:00+00:00,"b""RT @Azure: When your VR and AR devices can't create renderings by themselves, you can render 3D content remotely with Azure Remote Renderin\xe2\x80\xa6"""
1444421938152149003,msdev,2021-10-02 22:00:00+00:00,"b""RT @Azure: To optimize the scalability and performance of Azure #CosmosDB, it's important to choose the right partition key for your contai\xe2\x80\xa6"""
1443976501179961344,msdev,2021-10-01 16:30:00+00:00,"b'RT @OpenAtMicrosoft: Brendan Burns, Corporate VP of Azure OSS Cloud Native at Microsoft, will answer all your questions about containers, K\xe2\x80\xa6'"
1443644315675279360,msdev,2021-09-30 18:30:01+00:00,"b""RT @Azure: Learn how to manage and analyze your data regardless of where it's stored with #Azure Purview. Watch this episode of #AzureTipsA\xe2\x80\xa6"""
1453113702748655623,CBCNS,2021-10-26 21:37:58+00:00,b'Possible sale of Dartmouth housing complex leaves hundreds of residents worried https://t.co/VfYwWstG4M https://t.co/jLUQJh8t6g'
1453113697912623116,CBCNS,2021-10-26 21:37:57+00:00,b'Lifelong friends travel across Canada to hear from Black activists for upcoming documentary https://t.co/IttE50GQ4n https://t.co/K6w3P5l9wk'
1453091664373878796,CBCNS,2021-10-26 20:10:24+00:00,b'RT @KaylaHounsell: Check out this story my colleague @cbcgareth did for @CBCTheNational about work being done to improve access to Africvil\xe2\x80\xa6'
1453091426103963655,CBCNS,2021-10-26 20:09:27+00:00,b'RT @ryansnoddon: Updated wind + rain timeline for the next two days. \nLong duration event will ramp up tonight and then continue Wed and in\xe2\x80\xa6'
1453091391240904713,CBCNS,2021-10-26 20:09:19+00:00,b'RT @ryansnoddon: Rainfall outlook update.\nHighest amounts of 30-60 mm are looking likely for southwestern Nova Scotia. \nTough forecast with\xe2\x80\xa6'
1453083444947345415,CBCNS,2021-10-26 19:37:44+00:00,"b'1 death, 7 new COVID-19 cases in Nova Scotia on Tuesday https://t.co/jMeG12NpmW https://t.co/ApIey1FV7g'"
1453083437540204547,CBCNS,2021-10-26 19:37:43+00:00,b'Sean Fraser appointed to Trudeau cabinet as immigration minister https://t.co/QHNny2C9LW https://t.co/oEGf9PxO3D'
1453083429852131333,CBCNS,2021-10-26 19:37:41+00:00,"b'More changes could come to Residential Tenancies Act, says minister https://t.co/xnR1yoRdkD https://t.co/d2YXrGETDu'"
1453038172993212417,CBCNS,2021-10-26 16:37:51+00:00,b'How to have an eco-friendly Halloween https://t.co/KQBaH8IMRM https://t.co/VCT9F2kha2'
1453038166525583371,CBCNS,2021-10-26 16:37:49+00:00,b'New Glasgow doctor gives up licence over voyeurism case https://t.co/F1upkvFuch https://t.co/4U28vkBh0D'
1453023067660226565,CBCNS,2021-10-26 15:37:49+00:00,"b'Anand to defence, Joly to foreign affairs: Trudeau announces major cabinet shakeup https://t.co/lK5UUvo0av https://t.co/kbuxnEuGmC'"
1453023060085387265,CBCNS,2021-10-26 15:37:48+00:00,"b""Who's who in Justin Trudeau's 2021 cabinet https://t.co/mv1v7KGK01 https://t.co/1GOmjcuUec"""
1453023052023934991,CBCNS,2021-10-26 15:37:46+00:00,b'Sandeson appeals decision to deny him bail while he awaits 2nd murder trial https://t.co/EGQjPPLmhS https://t.co/lWhFACFFLE'
1453023043912183813,CBCNS,2021-10-26 15:37:44+00:00,b'N.S. massage therapist sentenced for assault https://t.co/77Mtcg7Oi6 https://t.co/RH3yrNjhE8'
1453015191470346242,CBCNS,2021-10-26 15:06:32+00:00,"b""RT @ryansnoddon: Wind Warnings are in effect for southwestern Nova Scotia, in Queens and Shelburne county, where we'll see the greatest ris\xe2\x80\xa6"""
1453014005795196934,CBCNS,2021-10-26 15:01:49+00:00,b'RT @CBCNews: Anita Anand replaces Harjit Sajjan as defence minister.\nSajjan becomes international development minister.\nM\xc3\xa9lanie Joly become\xe2\x80\xa6'
1453013939793575946,CBCNS,2021-10-26 15:01:33+00:00,b'RT @ryansnoddon: Spent some time this morning taking down some of our most wind blown prone Halloween decorations\xe2\x80\xa6\nNot a wind warning worth\xe2\x80\xa6'
1453004307071176720,CBCNS,2021-10-26 14:23:16+00:00,b'RT @Witherscbc: Central Nova Liberal MP Sean Fraser just walked up the Governor General\xe2\x80\x99s driveway in Ottawa today\xe2\x80\x99s for federal cabinet sw\xe2\x80\xa6'
1452932475831963652,CBCNS,2021-10-26 09:37:51+00:00,"b'Advocates for landlords, renters call for better enforcement of Residential Tenancies Act https://t.co/MVwEv1f0il https://t.co/Y0NLIYTG7A'"
1452932468319920129,CBCNS,2021-10-26 09:37:49+00:00,"b""These therapy goats are changing people's lives https://t.co/0y2vFWcOD6 https://t.co/3P1BBzXETm"""